Run Number,Single Point Max,Double Point Max,Uniform Max,Single Point Min,Double Point Min,Uniform Min,Single Point Avg,Double Point Avg,Uniform Avg
1,11224,9867,14474,138,153,235,1913,2123,3749
2,6516,8099,26224,134,114,326,1591,1862,3572
3,8679,7803,23986,114,59,208,2014,1879,3433
4,8696,6554,18015,122,106,166,1752,1776,3646
5,8478,6317,18538,74,52,210,1763,1577,3642
6,8076,10222,22300,70,169,307,2056,1894,3836
7,9967,9701,28227,91,107,205,2111,1805,3499
8,11969,7537,16110,107,173,125,2211,1656,3409
9,5308,12068,20365,60,80,303,1700,2102,4055
10,10044,12129,14666,39,89,154,1832,2212,3408
11,7036,5976,22282,163,71,231,2013,1857,4163
12,8916,8259,18751,97,114,128,1983,1920,3763
13,8018,12686,15159,30,185,193,1453,2033,3292
14,24557,13476,18903,229,73,240,1997,1899,4063
15,8857,10387,17036,114,177,259,1981,2358,3548
16,13403,12214,17938,149,61,256,1745,1687,3629
17,10325,10688,18417,109,88,160,1855,2013,3713
18,8983,9377,17531,116,84,142,1743,2034,3764
19,8335,10087,16684,105,124,227,1893,1924,4120
20,9351,7098,17354,87,125,280,1695,1673,3414
21,7436,12833,14665,121,91,164,2072,2094,3304
22,13128,8980,22313,118,101,245,1714,1950,4152
23,7374,6015,17666,113,65,178,1853,1569,4084
24,6431,7781,27573,199,142,192,1738,1955,4098
25,8177,10020,22408,51,35,256,1627,1857,3633
26,6760,9911,19153,125,71,185,1633,1922,3932
27,9059,9361,35793,104,173,128,1909,1977,4116
28,8104,8042,20426,110,94,174,1661,1777,3494
29,8244,9154,19814,191,61,331,1539,1818,4225
30,9706,7739,17847,140,162,285,1689,2283,3714
